"id";"name";"zone_id";"max_laden_draft";"latitude";"longitude";"draft_factor";"created_at";"updated_at";"deleted_at"
395;"NAKSKOV";6;10.0;54.5;11.08;1.0;"";"";""
396;"RODBY HAVN";6;10.0;54.39;11.21;1.0;"";"";""
397;"NYSTED";6;10.0;54.4;11.44;1.0;"";"";""
398;"RUDKOBING";6;10.0;54.57;10.43;1.0;"";"";""
399;"MARSTAL";6;10.0;54.55;10.2;1.0;"";"";""
400;"AEROSKOBING";6;10.0;54.53;10.25;1.0;"";"";""
401;"SVENDBORG";6;10.0;55.04;10.37;1.0;"";"";""
402;"NYBORG";6;10.0;55.19;10.48;1.0;"";"";""
403;"KERTEMINDE";6;10.0;55.27;10.4;1.0;"";"";""
404;"ODENSE";6;10.0;55.25;10.23;1.0;"";"";""
405;"FALKENBERG";6;10.0;56.54;12.3;1.0;"";"";""
406;"HALMSTAD";6;10.0;56.4;12.52;1.0;"";"";""
407;"HOGANAS";6;10.0;56.12;12.33;1.0;"";"";""
408;"HELSINGBORG";6;10.0;56.03;12.42;1.0;"";"";""
409;"LANDSKRONA";6;10.0;55.52;12.5;1.0;"";"";""
410;"MALMO";6;10.0;55.37;13.0;1.0;"";"";""
411;"LIMHAMN";6;10.0;55.35;12.56;1.0;"";"";""
412;"TRELLEBORG";6;10.0;55.22;13.09;1.0;"";"";""
413;"YSTAD";6;10.0;55.26;13.5;1.0;"";"";""
